ID,Harvest_Method,Cultivar_Type,Soil_Structure,Runoff,Soil_Texture,Organic_Matter_Content
824,Manual,Hibrido,ATERRONADA,LENTO,FAr,MEDIA
826,Mecanizada,Hibrido,MASIVA,NINGUNO,Ar,MEDIA
827,Manual,Hibrido,MASIVA,NINGUNO,Ar,MEDIA
829,Manual,Hibrido,MASIVA,NINGUNO,ArL,BAJA
830,Mecanizada,Hibrido,MASIVA,LENTO,Ar,BAJA
835,Manual,Hibrido,ATERRONADA,NINGUNO,Ar,MEDIA
838,Manual,Hibrido,MASIVA,NINGUNO,Ar,BAJA
840,Mecanizada,Hibrido,ATERRONADA,NINGUNO,Ar,NA
1770,Mecanizada,Hibrido,ATERRONADA,NINGUNO,Ar,MEDIA
1771,Manual,Hibrido,ATERRONADA,NINGUNO,Ar,MEDIA
1772,Manual,Hibrido,ATERRONADA,LENTO,Ar,MEDIA
1773,Manual,Hibrido,MASIVA,NINGUNO,Ar,MEDIA
1799,Manual,Hibrido,ATERRONADA,NINGUNO,Ar,MEDIA
1800,Mecanizada,Hibrido,MASIVA,NINGUNO,Ar,MEDIA
2010,Manual,Hibrido,MASIVA,LENTO,FrL,MEDIA
2011,Mecanizada,Hibrido,ATERRONADA,LENTO,Ar,MEDIA
2015,Mecanizada,Hibrido,ATERRONADA,NINGUNO,Ar,MEDIA
2016,Manual,Hibrido,ATERRONADA,NINGUNO,Ar,MEDIA
2020,Mecanizada,Hibrido,ATERRONADA,NINGUNO,Ar,MEDIA
2021,Manual,Hibrido,MASIVA,NINGUNO,Ar,BAJA
2022,Manual,Hibrido,MASIVA,NINGUNO,FA,BAJA
2029,Manual,Hibrido,MASIVA,LENTO,FA,MEDIA
2031,Manual,Hibrido,ATERRONADA,NINGUNO,FAr,MEDIA
2032,Manual,Hibrido,MASIVA,NINGUNO,FrL,MEDIA
2035,Manual,Hibrido,ATERRONADA,NINGUNO,Ar,MEDIA
2038,Mecanizada,Hibrido,ATERRONADA,LENTO,Ar,MEDIA
2039,Manual,Hibrido,MASIVA,LENTO,Ar,MEDIA
2040,Mecanizada,Hibrido,GRANULAR,NINGUNO,FrL,BAJA
2041,Manual,Hibrido,GRANULAR,NINGUNO,FrL,MEDIA
2042,Mecanizada,OGM,GRANULAR,LENTO,FA,MEDIA
2043,Mecanizada,OGM,GRANULAR,LENTO,FA,MEDIA
2044,Manual,Hibrido,GRANULAR,NINGUNO,FAr,MEDIA
2045,Manual,Hibrido,ATERRONADA,NINGUNO,ArL,BAJA
2048,Manual,Hibrido,ATERRONADA,NINGUNO,L,MEDIA
2050,Mecanizada,OGM,GRANULAR,LENTO,FA,MEDIA
2051,Mecanizada,Hibrido,GRANULAR,LENTO,FA,MEDIA
2052,Manual,Hibrido,GRANULAR,NINGUNO,F,MEDIA
2053,Mecanizada,OGM,ATERRONADA,NINGUNO,ArL,MEDIA
2069,Manual,Hibrido,ATERRONADA,NINGUNO,FAr,BAJA
2078,Manual,OGM,ATERRONADA,NINGUNO,FAr,BAJA
2079,Manual,Hibrido,ATERRONADA,NINGUNO,FrL,BAJA
2080,Manual,Hibrido,ATERRONADA,NINGUNO,FrL,MEDIA
2081,Manual,OGM,ATERRONADA,NINGUNO,L,MEDIA
2082,Mecanizada,OGM,ATERRONADA,LENTO,FAr,BAJA
2083,Manual,OGM,ATERRONADA,LENTO,FAr,BAJA
2084,Manual,Hibrido,ATERRONADA,NINGUNO,L,BAJA
2086,Manual,Hibrido,ATERRONADA,NINGUNO,FrL,BAJA
2088,Manual,Hibrido,ATERRONADA,NINGUNO,L,BAJA
2089,Mecanizada,Hibrido,ATERRONADA,NINGUNO,FrL,MEDIA
2090,Mecanizada,Hibrido,ATERRONADA,NINGUNO,FAr,MEDIA
2091,Manual,OGM,ATERRONADA,NINGUNO,ArA,MEDIA
2092,Manual,Hibrido,GRANULAR,NINGUNO,FAr,MEDIA
2107,Manual,Hibrido,ATERRONADA,NINGUNO,FAr,BAJA
2110,Manual,Hibrido,ATERRONADA,NINGUNO,FrL,MEDIA
2111,Manual,Hibrido,GRANULAR,NINGUNO,FrL,BAJA
2113,Manual,OGM,ATERRONADA,NINGUNO,FrL,MEDIA
2117,Mecanizada,OGM,GRANULAR,LENTO,FAr,MEDIA
2118,Mecanizada,OGM,ATERRONADA,LENTO,FAr,BAJA
2119,Mecanizada,OGM,GRANULAR,LENTO,FAr,MEDIA
2120,Mecanizada,OGM,GRANULAR,LENTO,FAr,BAJA
2128,Manual,Hibrido,ATERRONADA,NINGUNO,L,MEDIA
2129,Manual,Hibrido,ATERRONADA,NINGUNO,F,MEDIA
2130,Mecanizada,Hibrido,GRANULAR,NINGUNO,FA,BAJA
2132,Manual,Hibrido,GRANULAR,NINGUNO,L,BAJA
2135,Manual,Hibrido,GRANULAR,NINGUNO,FrL,BAJA
2136,Mecanizada,Hibrido,GRANULAR,NINGUNO,Ar,MEDIA
2137,Manual,Hibrido,GRANULAR,NINGUNO,FrL,BAJA
2138,Manual,Hibrido,ATERRONADA,NINGUNO,F,BAJA
2140,Manual,Hibrido,GRANULAR,NINGUNO,FAr,BAJA
2154,Manual,Hibrido,GRANULAR,NINGUNO,FAr,BAJA
2157,Manual,OGM,GRANULAR,NINGUNO,F,BAJA
2158,Manual,Hibrido,GRANULAR,NINGUNO,FA,MEDIA
2159,Manual,Hibrido,GRANULAR,NINGUNO,F,BAJA
2160,Mecanizada,OGM,GRANULAR,LENTO,FAr,MEDIA
2161,Manual,OGM,GRANULAR,LENTO,FAr,BAJA
2163,Manual,OGM,GRANULAR,LENTO,FAr,BAJA
2164,Manual,OGM,GRANULAR,LENTO,FAr,MEDIA
2165,Manual,Hibrido,ATERRONADA,NINGUNO,ArL,BAJA
2166,Manual,Hibrido,GRANULAR,LENTO,FAr,MEDIA
2167,Mecanizada,Hibrido,ATERRONADA,NINGUNO,Ar,MEDIA
2206,Manual,Hibrido,GRANULAR,LENTO,FAr,MEDIA
2207,Manual,Hibrido,GRANULAR,LENTO,FAr,MEDIA
2211,Mecanizada,OGM,ATERRONADA,NINGUNO,ArL,MEDIA
2214,Mecanizada,OGM,ATERRONADA,LENTO,FAr,MEDIA
2216,Manual,OGM,GRANULAR,LENTO,FAr,BAJA
2218,Manual,OGM,ATERRONADA,LENTO,FAr,MEDIA
2220,Manual,Hibrido,ATERRONADA,NINGUNO,FAr,BAJA
2222,Manual,Hibrido,GRANULAR,NINGUNO,FA,MEDIA
2224,Manual,Hibrido,GRANULAR,NINGUNO,FA,BAJA
2225,Manual,Hibrido,ATERRONADA,NINGUNO,FAr,MEDIA
2228,Mecanizada,Hibrido,GRANULAR,NINGUNO,F,BAJA
2229,Manual,Hibrido,ATERRONADA,NINGUNO,FAr,BAJA
2233,Manual,Hibrido,GRANULAR,NINGUNO,FAr,BAJA
2234,Manual,Hibrido,ATERRONADA,NINGUNO,F,BAJA
2235,Mecanizada,Hibrido,GRANULAR,LENTO,FAr,MEDIA
2236,Mecanizada,Hibrido,ATERRONADA,NINGUNO,FA,MEDIA
2237,Manual,Hibrido,ATERRONADA,LENTO,FAr,MEDIA
2238,Mecanizada,OGM,GRANULAR,LENTO,FA,MEDIA
2241,Manual,OGM,ATERRONADA,LENTO,FAr,BAJA
2242,Manual,OGM,ATERRONADA,LENTO,FAr,BAJA
2243,Manual,OGM,ATERRONADA,LENTO,FAr,BAJA
2267,Mecanizada,OGM,GRANULAR,LENTO,FAr,MEDIA
2275,Mecanizada,OGM,GRANULAR,LENTO,ArA,BAJA
2277,Manual,OGM,ATERRONADA,NINGUNO,FAr,BAJA
2280,Manual,Hibrido,ATERRONADA,NINGUNO,FAr,BAJA
2281,Mecanizada,Hibrido,GRANULAR,LENTO,FAr,MEDIA
2282,Mecanizada,OGM,ATERRONADA,LENTO,FrL,MEDIA
2283,Manual,OGM,ATERRONADA,NINGUNO,L,MEDIA
2284,Mecanizada,OGM,ATERRONADA,NINGUNO,FAr,MEDIA
2293,Mecanizada,OGM,ATERRONADA,LENTO,FAr,MEDIA
2298,Manual,OGM,ATERRONADA,NINGUNO,FrL,MEDIA
2314,Manual,Variedad,ATERRONADA,NINGUNO,FrL,MEDIA
2351,Mecanizada,OGM,ATERRONADA,LENTO,FAr,MEDIA
2352,Manual,OGM,ATERRONADA,NINGUNO,FrL,MEDIA
2387,Manual,Hibrido,GRANULAR,NINGUNO,FA,BAJA
2391,Manual,Hibrido,ATERRONADA,NINGUNO,FA,MEDIA
2392,Manual,Hibrido,ATERRONADA,NINGUNO,L,MEDIA
2404,Manual,Hibrido,ATERRONADA,NINGUNO,FrL,MEDIA
2406,Manual,OGM,GRANULAR,NINGUNO,Ar,MEDIA
2457,Manual,OGM,GRANULAR,LENTO,FAr,MEDIA
2458,Mecanizada,OGM,ATERRONADA,LENTO,FA,MEDIA
2465,Manual,OGM,GRANULAR,LENTO,FAr,MEDIA
2466,Manual,OGM,GRANULAR,LENTO,FAr,MEDIA
2472,Manual,Hibrido,GRANULAR,LENTO,FAr,MEDIA
2474,Mecanizada,Hibrido,GRANULAR,NINGUNO,FAr,MEDIA
2501,Manual,OGM,GRANULAR,LENTO,FAr,MEDIA
2506,Mecanizada,Hibrido,ATERRONADA,NINGUNO,FAr,BAJA
2507,Manual,OGM,GRANULAR,LENTO,FA,MEDIA
2508,Mecanizada,OGM,ATERRONADA,NINGUNO,FAr,MEDIA
2510,Manual,Hibrido,ATERRONADA,NINGUNO,F,BAJA
2511,Manual,Hibrido,ATERRONADA,NINGUNO,ArL,MEDIA
2535,Manual,OGM,GRANULAR,LENTO,FAr,BAJA
2536,Manual,OGM,GRANULAR,LENTO,FAr,MEDIA
2539,Manual,Hibrido,ATERRONADA,LENTO,ArA,MEDIA
2540,Manual,OGM,ATERRONADA,NINGUNO,FrL,MEDIA
2545,Manual,OGM,ATERRONADA,NINGUNO,FAr,BAJA
2550,Mecanizada,Hibrido,ATERRONADA,NINGUNO,FAr,MEDIA
2560,Manual,Hibrido,ATERRONADA,NINGUNO,FAr,MEDIA
2573,Manual,OGM,ATERRONADA,NINGUNO,F,BAJA
2577,Manual,OGM,ATERRONADA,NINGUNO,L,BAJA
2579,Manual,OGM,ATERRONADA,NINGUNO,FAr,BAJA
2609,Manual,Hibrido,ATERRONADA,NINGUNO,ArL,BAJA
2635,Manual,Hibrido,GRANULAR,LENTO,FAr,MEDIA
2636,Manual,OGM,ATERRONADA,LENTO,FAr,BAJA
2637,Manual,OGM,GRANULAR,LENTO,FAr,MEDIA
2641,Manual,OGM,GRANULAR,LENTO,FAr,BAJA
2643,Manual,Hibrido,GRANULAR,LENTO,FAr,MEDIA
2661,Manual,Hibrido,GRANULAR,LENTO,FAr,MEDIA
2662,Mecanizada,Hibrido,ATERRONADA,NINGUNO,Ar,MEDIA
2663,Mecanizada,OGM,ATERRONADA,NINGUNO,ArL,BAJA
2666,Manual,Hibrido,ATERRONADA,NINGUNO,FAr,MEDIA
2668,Mecanizada,Hibrido,ATERRONADA,NINGUNO,FrL,BAJA
2669,Manual,OGM,GRANULAR,LENTO,FAr,BAJA
2675,Manual,Hibrido,GRANULAR,LENTO,FAr,BAJA
2678,Manual,Hibrido,ATERRONADA,NINGUNO,FAr,MEDIA
2679,Manual,Hibrido,GRANULAR,LENTO,FAr,BAJA
2680,Manual,Hibrido,ATERRONADA,NINGUNO,FAr,MEDIA
2681,Mecanizada,OGM,ATERRONADA,NINGUNO,FAr,MEDIA
2688,Manual,OGM,ATERRONADA,NINGUNO,FAr,MEDIA
2690,Manual,Hibrido,ATERRONADA,NINGUNO,FrL,MEDIA
2694,Manual,Hibrido,GRANULAR,NINGUNO,F,MEDIA
2718,Manual,Hibrido,ATERRONADA,NINGUNO,L,MEDIA
2719,Manual,Hibrido,ATERRONADA,NINGUNO,FrL,MEDIA
2721,Manual,Hibrido,ATERRONADA,NINGUNO,FAr,MEDIA
2722,Manual,OGM,ATERRONADA,NINGUNO,F,MEDIA
2723,Manual,Hibrido,ATERRONADA,NINGUNO,ArA,MEDIA
2733,Manual,Hibrido,ATERRONADA,NINGUNO,Ar,MEDIA
2735,Manual,Hibrido,ATERRONADA,NINGUNO,F,MEDIA
2736,Mecanizada,OGM,ATERRONADA,NINGUNO,FrL,MEDIA
2739,Mecanizada,OGM,GRANULAR,NINGUNO,ArA,MEDIA
2740,Manual,OGM,ATERRONADA,NINGUNO,Ar,MEDIA
2746,Manual,Hibrido,GRANULAR,NINGUNO,F,MEDIA
2757,Manual,Hibrido,GRANULAR,NINGUNO,ArL,MEDIA
2762,Manual,OGM,GRANULAR,NINGUNO,FA,MEDIA
2766,Manual,Hibrido,ATERRONADA,NINGUNO,FA,MEDIA
2767,Manual,Hibrido,GRANULAR,NINGUNO,FAr,BAJA
2771,Manual,Hibrido,ATERRONADA,NINGUNO,FA,BAJA
2772,Manual,Hibrido,GRANULAR,NINGUNO,FA,MEDIA
2773,Manual,Hibrido,GRANULAR,NINGUNO,FA,MEDIA
2774,Manual,Hibrido,GRANULAR,NINGUNO,FAr,BAJA
2775,Manual,OGM,GRANULAR,NINGUNO,FAr,BAJA
2860,Manual,OGM,GRANULAR,NINGUNO,FA,MEDIA
2862,Manual,OGM,GRANULAR,NINGUNO,F,BAJA
2863,Manual,Hibrido,ATERRONADA,NINGUNO,F,BAJA
2864,Manual,Hibrido,GRANULAR,NINGUNO,FAr,BAJA
2865,Mecanizada,OGM,GRANULAR,NINGUNO,F,BAJA
2866,Mecanizada,Hibrido,ATERRONADA,NINGUNO,F,MEDIA
2867,Mecanizada,OGM,GRANULAR,NINGUNO,F,MEDIA
2873,Manual,Hibrido,ATERRONADA,NINGUNO,ArL,MEDIA
2886,Manual,OGM,GRANULAR,LENTO,FAr,MEDIA
2888,Manual,OGM,ATERRONADA,NINGUNO,FrL,MEDIA
2890,Manual,OGM,ATERRONADA,LENTO,FAr,MEDIA
2891,Manual,Hibrido,ATERRONADA,NINGUNO,L,MEDIA
2892,Manual,OGM,ATERRONADA,LENTO,FAr,MEDIA
2893,Mecanizada,OGM,GRANULAR,NINGUNO,L,MEDIA
2895,Manual,OGM,ATERRONADA,NINGUNO,FA,MEDIA
2898,Manual,OGM,GRANULAR,NINGUNO,FAr,BAJA
2901,Manual,Hibrido,GRANULAR,LENTO,FAr,MEDIA
2902,Manual,OGM,GRANULAR,LENTO,FAr,MEDIA
2917,Manual,Hibrido,GRANULAR,LENTO,FAr,MEDIA
2921,Manual,Hibrido,GRANULAR,LENTO,FAr,MEDIA
2937,Mecanizada,OGM,GRANULAR,LENTO,FAr,MEDIA
2944,Manual,OGM,ATERRONADA,NINGUNO,F,MEDIA
2948,Manual,OGM,GRANULAR,NINGUNO,FA,MEDIA
2953,Manual,OGM,ATERRONADA,NINGUNO,F,BAJA
2954,Mecanizada,OGM,GRANULAR,LENTO,FAr,MEDIA
3103,Manual,OGM,ATERRONADA,LENTO,FAr,MEDIA
3106,Manual,OGM,ATERRONADA,NINGUNO,Ar,MEDIA
3122,Manual,Hibrido,GRANULAR,NINGUNO,F,MEDIA
3124,Manual,Hibrido,ATERRONADA,NINGUNO,Ar,MEDIA
3125,Manual,OGM,ATERRONADA,NINGUNO,FAr,BAJA
3135,Manual,Hibrido,ATERRONADA,NINGUNO,FAr,MEDIA
3280,Manual,Hibrido,ATERRONADA,NINGUNO,FrL,MEDIA
787,Mecanizada,Hibrido,GRANULAR,NINGUNO,Ar,BAJA
3278,Manual,OGM,ATERRONADA,LENTO,FAr,MEDIA
3299,Manual,OGM,GRANULAR,NINGUNO,A,MEDIA
4501,Mecanizada,Hibrido,ATERRONADA,NINGUNO,FAr,BAJA
4502,Manual,OGM,GRANULAR,NINGUNO,FA,MEDIA
4504,Manual,OGM,GRANULAR,NINGUNO,F,BAJA
4506,Manual,OGM,ATERRONADA,NINGUNO,Ar,BAJA
4507,Manual,Hibrido,GRANULAR,NINGUNO,FA,BAJA
4510,Mecanizada,OGM,ATERRONADA,LENTO,FA,MEDIA
4551,Manual,OGM,GRANULAR,NINGUNO,FA,MEDIA
4605,Manual,OGM,GRANULAR,NINGUNO,F,BAJA
4606,Manual,Hibrido,ATERRONADA,LENTO,FAr,MEDIA
2871,Manual,OGM,GRANULAR,NINGUNO,FAr,BAJA
2896,Mecanizada,Hibrido,ATERRONADA,LENTO,FAr,BAJA
2153,Manual,OGM,GRANULAR,NINGUNO,FA,MEDIA
2541,Manual,OGM,GRANULAR,LENTO,FAr,BAJA
2925,Manual,OGM,GRANULAR,NINGUNO,FAr,BAJA
2831,Manual,OGM,GRANULAR,NINGUNO,FAr,BAJA
2836,Manual,Hibrido,GRANULAR,NINGUNO,Ar,BAJA
2301,Manual,Hibrido,GRANULAR,NINGUNO,F,MEDIA
2754,Manual,Hibrido,GRANULAR,NINGUNO,F,BAJA
2747,Manual,Hibrido,GRANULAR,NINGUNO,F,BAJA
2950,Manual,OGM,GRANULAR,NINGUNO,FAr,BAJA
2751,Manual,OGM,ATERRONADA,NINGUNO,F,BAJA
2752,Manual,Hibrido,GRANULAR,NINGUNO,ArA,BAJA
2302,Manual,Hibrido,ATERRONADA,NINGUNO,FAr,BAJA
2741,Manual,OGM,GRANULAR,NINGUNO,F,BAJA
2750,Manual,OGM,GRANULAR,NINGUNO,FAr,MEDIA
2949,Manual,Hibrido,GRANULAR,NINGUNO,FAr,BAJA
2940,Manual,Hibrido,GRANULAR,NINGUNO,FAr,BAJA
2946,Manual,Hibrido,GRANULAR,LENTO,FAr,MEDIA
3172,Manual,OGM,GRANULAR,NINGUNO,FAr,BAJA
3173,Manual,OGM,GRANULAR,NINGUNO,FAr,BAJA
3174,Manual,OGM,GRANULAR,NINGUNO,F,BAJA
3175,Manual,OGM,GRANULAR,NINGUNO,ArA,BAJA
3176,Manual,OGM,GRANULAR,NINGUNO,ArA,BAJA
3177,Manual,OGM,GRANULAR,NINGUNO,FAr,BAJA
3179,Mecanizada,OGM,GRANULAR,NINGUNO,ArA,MEDIA
3180,Manual,OGM,GRANULAR,NINGUNO,F,BAJA
3181,Mecanizada,OGM,GRANULAR,NINGUNO,FAr,MEDIA
3182,Mecanizada,Hibrido,GRANULAR,NINGUNO,Ar,BAJA
3183,Manual,Hibrido,GRANULAR,NINGUNO,FAr,BAJA
3184,Manual,OGM,GRANULAR,NINGUNO,Ar,BAJA
3185,Manual,Hibrido,ATERRONADA,NINGUNO,A,MEDIA
3188,Manual,Hibrido,GRANULAR,LENTO,FAr,MEDIA
3190,Manual,Hibrido,GRANULAR,LENTO,FAr,BAJA
3191,Manual,Hibrido,GRANULAR,LENTO,FAr,BAJA
3192,Manual,Hibrido,GRANULAR,LENTO,FA,MEDIA
3193,Mecanizada,OGM,GRANULAR,LENTO,FAr,MEDIA
3194,Manual,Hibrido,GRANULAR,LENTO,FAr,MEDIA
3195,Manual,OGM,GRANULAR,LENTO,FAr,MEDIA
3196,Mecanizada,OGM,ATERRONADA,LENTO,FAr,MEDIA
3197,Manual,OGM,ATERRONADA,LENTO,FAr,MEDIA
3198,Mecanizada,OGM,GRANULAR,LENTO,FAr,MEDIA
3202,Manual,Hibrido,GRANULAR,LENTO,FAr,MEDIA
3203,Mecanizada,OGM,GRANULAR,LENTO,FAr,MEDIA
3204,Manual,OGM,GRANULAR,LENTO,FAr,MEDIA
3205,Mecanizada,Hibrido,GRANULAR,LENTO,FAr,MEDIA
3206,Mecanizada,OGM,GRANULAR,LENTO,FAr,MEDIA
3207,Manual,OGM,ATERRONADA,LENTO,FA,BAJA
3208,Manual,OGM,GRANULAR,LENTO,FAr,MEDIA
3209,Manual,Hibrido,GRANULAR,LENTO,FAr,BAJA
3211,Manual,Hibrido,GRANULAR,LENTO,FAr,MEDIA
3212,Manual,OGM,GRANULAR,LENTO,FA,MEDIA
3213,Manual,Hibrido,GRANULAR,LENTO,FA,MEDIA
3214,Manual,Hibrido,GRANULAR,LENTO,FA,MEDIA
3215,Manual,Hibrido,GRANULAR,LENTO,FAr,MEDIA
3216,Manual,Hibrido,GRANULAR,LENTO,FA,BAJA
3217,Manual,OGM,GRANULAR,LENTO,FAr,MEDIA
3218,Manual,OGM,GRANULAR,LENTO,FAr,BAJA
3219,Manual,Hibrido,GRANULAR,LENTO,FAr,BAJA
3220,Manual,Hibrido,GRANULAR,NINGUNO,F,MEDIA
3221,Manual,Hibrido,GRANULAR,NINGUNO,FAr,MEDIA
3222,Manual,Hibrido,GRANULAR,NINGUNO,F,MEDIA
3223,Manual,Hibrido,GRANULAR,NINGUNO,F,MEDIA
3224,Manual,Hibrido,ATERRONADA,NINGUNO,FrL,MEDIA
3225,Manual,Hibrido,ATERRONADA,NINGUNO,FAr,MEDIA
3227,Manual,Hibrido,ATERRONADA,NINGUNO,FAr,MEDIA
3228,Manual,Hibrido,GRANULAR,NINGUNO,F,MEDIA
3230,Manual,Hibrido,GRANULAR,NINGUNO,FrL,MEDIA
3231,Manual,Variedad,ATERRONADA,NINGUNO,FrL,MEDIA
3237,Manual,Hibrido,GRANULAR,NINGUNO,FAr,MEDIA
3238,Manual,Hibrido,ATERRONADA,NINGUNO,FrL,MEDIA
3267,Manual,Hibrido,ATERRONADA,NINGUNO,FA,MEDIA
3268,Manual,Hibrido,ATERRONADA,NINGUNO,Ar,MEDIA
3270,Manual,Hibrido,ATERRONADA,NINGUNO,Ar,MEDIA
3271,Manual,Hibrido,GRANULAR,NINGUNO,F,MEDIA
3273,Manual,Hibrido,GRANULAR,NINGUNO,F,MEDIA
3274,Manual,Hibrido,GRANULAR,NINGUNO,F,MEDIA
3275,Mecanizada,OGM,ATERRONADA,LENTO,FAr,MEDIA
3276,Mecanizada,OGM,GRANULAR,LENTO,FAr,MEDIA
3279,Manual,OGM,GRANULAR,LENTO,FAr,MEDIA
769,Manual,OGM,GRANULAR,LENTO,FA,MEDIA
3312,Manual,OGM,GRANULAR,LENTO,FAr,MEDIA
3313,Manual,Hibrido,ATERRONADA,NINGUNO,FrL,MEDIA
3314,Manual,Hibrido,GRANULAR,NINGUNO,F,MEDIA
3315,Manual,Hibrido,ATERRONADA,NINGUNO,FrL,MEDIA
3316,Manual,Hibrido,GRANULAR,NINGUNO,F,MEDIA
3317,Manual,Hibrido,GRANULAR,LENTO,F,MEDIA
779,Manual,Hibrido,GRANULAR,NINGUNO,FA,BAJA
780,Manual,Hibrido,GRANULAR,LENTO,FA,MEDIA
3320,Manual,Hibrido,ATERRONADA,NINGUNO,FAr,MEDIA
3321,Manual,Hibrido,MASIVA,NINGUNO,FrL,BAJA
3322,Mecanizada,Hibrido,MASIVA,NINGUNO,Ar,MEDIA
3323,Mecanizada,Hibrido,ATERRONADA,LENTO,Ar,MEDIA
786,Manual,Hibrido,MASIVA,LENTO,Ar,MEDIA
3326,Manual,Hibrido,GRANULAR,NINGUNO,F,MEDIA
3328,Manual,Hibrido,ATERRONADA,NINGUNO,Ar,MEDIA
3329,Mecanizada,Hibrido,ATERRONADA,NINGUNO,FAr,MEDIA
3330,Manual,Hibrido,ATERRONADA,NINGUNO,FAr,MEDIA
3331,Manual,Hibrido,ATERRONADA,NINGUNO,FrL,MEDIA
3332,Manual,Hibrido,ATERRONADA,NINGUNO,L,MEDIA
3333,Manual,Variedad,ATERRONADA,NINGUNO,FAr,MEDIA
3334,Manual,Variedad,ATERRONADA,NINGUNO,FAr,BAJA
3335,Manual,Hibrido,ATERRONADA,NINGUNO,Ar,MEDIA
807,Manual,Hibrido,ATERRONADA,NINGUNO,FAr,MEDIA
3337,Manual,Hibrido,ATERRONADA,NINGUNO,L,MEDIA
3339,Mecanizada,Hibrido,ATERRONADA,NINGUNO,FrL,MEDIA
3340,Manual,Hibrido,ATERRONADA,NINGUNO,FrL,MEDIA
3341,Manual,Hibrido,ATERRONADA,NINGUNO,L,MEDIA
3342,Manual,Hibrido,ATERRONADA,NINGUNO,F,MEDIA
3343,Manual,Hibrido,ATERRONADA,NINGUNO,FrL,MEDIA
3344,Manual,Hibrido,ATERRONADA,NINGUNO,Ar,MEDIA
3345,Manual,Hibrido,ATERRONADA,NINGUNO,FAr,MEDIA
3346,Manual,Hibrido,ATERRONADA,NINGUNO,L,MEDIA
3347,Manual,Hibrido,GRANULAR,NINGUNO,F,MEDIA
3348,Manual,Hibrido,ATERRONADA,NINGUNO,FrL,MEDIA
825,Manual,Hibrido,GRANULAR,NINGUNO,F,MEDIA
828,Manual,Hibrido,ATERRONADA,NINGUNO,L,MEDIA
834,Manual,Hibrido,ATERRONADA,NINGUNO,FrL,MEDIA
